2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
4,4,4,4,8,3
2,4,2,4,2,5
4,4,4,4,2,9
4,4,2,8,8,3
4,4,2,8,2,9
2,5,2,5,4,3
2,5,2,5,2,6
8,5,8,5,4,8
2,6,4,3,2,7
2,6,2,6,2,7
2,7,2,7,4,4
4,7,4,7,8,5
2,7,2,7,2,8
2,8,4,4,8,3
2,8,4,4,2,9
2,8,2,8,8,3
2,8,2,8,2,9
2,9,8,3,4,5
2,9,8,3,2,10
2,9,2,9,4,5
2,9,2,9,2,10
4,10,4,10,8,7
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
2,4,2,4,2,5
2,5,2,5,4,3
2,5,2,5,2,6
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
4,4,4,4,8,3
2,4,2,4,2,5
4,4,4,4,2,9
4,4,2,8,8,3
4,4,2,8,2,9
2,5,2,5,4,3
2,5,2,5,2,6
8,5,8,5,4,8
2,6,4,3,2,7
2,6,2,6,2,7
2,7,2,7,4,4
4,7,4,7,8,5
2,7,2,7,2,8
2,8,4,4,8,3
2,8,4,4,2,9
2,8,2,8,8,3
2,8,2,8,2,9
2,9,8,3,4,5
2,9,8,3,2,10
2,9,2,9,4,5
2,9,2,9,2,10
4,10,4,10,8,7
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
4,4,4,4,8,3
2,4,2,4,2,5
4,4,4,4,2,9
4,4,2,8,8,3
4,4,2,8,2,9
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
4,4,4,4,8,3
2,4,2,4,2,5
4,4,4,4,2,9
4,4,2,8,8,3
4,4,2,8,2,9
2,5,2,5,4,3
2,5,2,5,2,6
8,5,8,5,4,8
2,6,4,3,2,7
2,6,2,6,2,7
2,7,2,7,4,4
4,7,4,7,8,5
2,7,2,7,2,8
2,8,4,4,8,3
2,8,4,4,2,9
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
4,3,4,3,2,7
4,3,2,6,2,7
2,4,2,4,2,5
2,5,2,5,4,3
2,5,2,5,2,6
2,6,4,3,2,7
2,6,2,6,2,7
2,7,2,7,4,4
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
4,4,4,4,8,3
2,4,2,4,2,5
4,4,4,4,2,9
4,4,2,8,8,3
4,4,2,8,2,9
2,5,2,5,4,3
2,5,2,5,2,6
8,5,8,5,4,8
4,5,4,5,2,11
4,5,2,10,2,11
2,6,4,3,2,7
2,3,2,3,2,4
3,3,6,3,3,5
6,3,3,3,3,5
8,3,8,3,4,5
4,3,4,3,2,7
8,3,8,3,2,10
4,3,2,6,2,7
8,3,2,9,4,5
8,3,2,9,2,10
4,4,4,4,8,3
2,4,2,4,2,5
4,4,4,4,2,9
4,4,2,8,8,3
4,4,2,8,2,9
2,5,2,5,4,3
2,5,2,5,2,6
8,5,8,5,4,8
4,5,4,5,2,11
4,5,2,10,2,11
2,6,4,3,2,7
2,6,2,6,2,7
2,7,2,7,4,4
4,7,4,7,8,5
2,7,2,7,2,8
8,7,8,7,4,11
2,8,4,4,8,3
2,8,4,4,2,9
2,8,2,8,8,3
2,8,2,8,2,9
2,9,8,3,4,5
2,9,8,3,2,10
2,9,2,9,4,5
2,9,2,9,2,10
2,10,4,5,2,11
4,10,4,10,8,7
2,10,2,10,2,11
2,11,2,11,8,4
2,11,2,11,4,6
